2024-10-21T16:07:21+07:00,[Table] ping power : 64
2024-10-21T16:07:21+07:00,[Player B] power return : 57
2024-10-21T16:07:22+07:00,[Player B] is power: 57 less than table power 64
2024-10-21T16:07:22+07:00,[Alert] Player A wins!
2024-10-21T16:07:22+07:00,-------------------- Game Over --------------------
2024-10-21T16:08:06+07:00,-------------------- New Match 1 --------------------
2024-10-21T16:08:06+07:00,Player A & Player B on the court
2024-10-21T16:08:08+07:00,[Player A] is power shoot: 71
2024-10-21T16:08:09+07:00,[Table] ping power : 52
2024-10-21T16:08:09+07:00,[Player B] power return : 71
2024-10-21T16:08:10+07:00,[Alert] Player B is ping power: 71 more than 52
2024-10-21T16:08:10+07:00,------------------------------------------------
2024-10-21T16:08:11+07:00,[Player B] is power shoot: 71
2024-10-21T16:08:12+07:00,[Table] ping power : 59
2024-10-21T16:08:12+07:00,[Player A] power return : 100
2024-10-21T16:08:13+07:00,[Alert] Player A is ping power: 100 more than 59
2024-10-21T16:08:13+07:00,------------------------------------------------
2024-10-21T16:08:14+07:00,[Player A] is power shoot: 100
2024-10-21T16:08:15+07:00,[Table] ping power : 83
2024-10-21T16:08:15+07:00,[Player B] power return : 94
2024-10-21T16:08:16+07:00,[Alert] Player B is ping power: 94 more than 83
2024-10-21T16:08:16+07:00,------------------------------------------------
2024-10-21T16:08:17+07:00,[Player B] is power shoot: 94
2024-10-21T16:08:18+07:00,[Table] ping power : 77
2024-10-21T16:08:18+07:00,[Player A] power return : 83
2024-10-21T16:08:19+07:00,[Alert] Player A is ping power: 83 more than 77
2024-10-21T16:08:19+07:00,------------------------------------------------
2024-10-21T16:08:20+07:00,[Player A] is power shoot: 83
2024-10-21T16:08:21+07:00,[Table] ping power : 72
2024-10-21T16:08:21+07:00,[Player B] power return : 74
2024-10-21T16:08:22+07:00,[Alert] Player B is ping power: 74 more than 72
2024-10-21T16:08:22+07:00,------------------------------------------------
2024-10-21T16:08:23+07:00,[Player B] is power shoot: 74
2024-10-21T16:08:24+07:00,[Table] ping power : 62
2024-10-21T16:08:24+07:00,[Player A] power return : 79
2024-10-21T16:08:25+07:00,[Alert] Player A is ping power: 79 more than 62
2024-10-21T16:08:25+07:00,------------------------------------------------
2024-10-21T16:08:26+07:00,[Player A] is power shoot: 79
2024-10-21T16:08:27+07:00,[Table] ping power : 59
2024-10-21T16:08:27+07:00,[Player B] power return : 91
2024-10-21T16:08:28+07:00,[Alert] Player B is ping power: 91 more than 59
2024-10-21T16:08:28+07:00,------------------------------------------------
2024-10-21T16:08:29+07:00,[Player B] is power shoot: 91
2024-10-21T16:08:30+07:00,[Table] ping power : 70
2024-10-21T16:08:30+07:00,[Player A] power return : 90
2024-10-21T16:08:31+07:00,[Alert] Player A is ping power: 90 more than 70
2024-10-21T16:08:31+07:00,------------------------------------------------
2024-10-21T16:08:32+07:00,[Player A] is power shoot: 90
2024-10-21T16:08:33+07:00,[Table] ping power : 64
2024-10-21T16:08:33+07:00,[Player B] power return : 57
2024-10-21T16:08:34+07:00,[Player B] is power: 57 less than 64
2024-10-21T16:08:34+07:00,[Alert] Player A wins!
2024-10-21T16:08:34+07:00,-------------------- Game Over --------------------
2024-10-21T16:09:47+07:00,------------------ New Match 1 ------------------
2024-10-21T16:09:47+07:00,Player A & Player B on the court
2024-10-21T16:09:49+07:00,[Player A] is power shoot: 71
2024-10-21T16:09:50+07:00,[Table] ping power : 52
2024-10-21T16:09:50+07:00,[Player B] power return : 71
2024-10-21T16:09:51+07:00,[Alert] Player B is ping power: 71 more than 52
2024-10-21T16:09:51+07:00,------------------------------------------------
2024-10-21T16:09:52+07:00,[Player B] is power shoot: 71
2024-10-21T16:09:53+07:00,[Table] ping power : 59
2024-10-21T16:09:53+07:00,[Player A] power return : 100
2024-10-21T16:09:54+07:00,[Alert] Player A is ping power: 100 more than 59
2024-10-21T16:09:54+07:00,------------------------------------------------
2024-10-21T16:09:55+07:00,[Player A] is power shoot: 100
2024-10-21T16:09:56+07:00,[Table] ping power : 83
2024-10-21T16:09:56+07:00,[Player B] power return : 94
2024-10-21T16:09:57+07:00,[Alert] Player B is ping power: 94 more than 83
2024-10-21T16:09:57+07:00,------------------------------------------------
2024-10-21T16:09:58+07:00,[Player B] is power shoot: 94
2024-10-21T16:09:59+07:00,[Table] ping power : 77
2024-10-21T16:09:59+07:00,[Player A] power return : 83
2024-10-21T16:10:00+07:00,[Alert] Player A is ping power: 83 more than 77
2024-10-21T16:10:00+07:00,------------------------------------------------
2024-10-21T16:10:01+07:00,[Player A] is power shoot: 83
2024-10-21T16:10:02+07:00,[Table] ping power : 72
2024-10-21T16:10:02+07:00,[Player B] power return : 74
2024-10-21T16:10:03+07:00,[Alert] Player B is ping power: 74 more than 72
2024-10-21T16:10:03+07:00,------------------------------------------------
2024-10-21T16:10:04+07:00,[Player B] is power shoot: 74
2024-10-21T16:10:05+07:00,[Table] ping power : 62
2024-10-21T16:10:05+07:00,[Player A] power return : 79
2024-10-21T16:10:06+07:00,[Alert] Player A is ping power: 79 more than 62
2024-10-21T16:10:06+07:00,------------------------------------------------
2024-10-21T16:10:07+07:00,[Player A] is power shoot: 79
2024-10-21T16:10:08+07:00,[Table] ping power : 59
2024-10-21T16:10:08+07:00,[Player B] power return : 91
2024-10-21T16:10:09+07:00,[Alert] Player B is ping power: 91 more than 59
2024-10-21T16:10:09+07:00,------------------------------------------------
2024-10-21T16:10:10+07:00,[Player B] is power shoot: 91
2024-10-21T16:10:11+07:00,[Table] ping power : 70
2024-10-21T16:10:11+07:00,[Player A] power return : 90
2024-10-21T16:10:12+07:00,[Alert] Player A is ping power: 90 more than 70
2024-10-21T16:10:12+07:00,------------------------------------------------
2024-10-21T16:10:13+07:00,[Player A] is power shoot: 90
2024-10-21T16:10:14+07:00,[Table] ping power : 64
2024-10-21T16:10:14+07:00,[Player B] power return : 57
2024-10-21T16:10:15+07:00,[Player B] is power: 57 less than 64
2024-10-21T16:10:15+07:00,[Alert] Player A wins!
2024-10-21T16:10:15+07:00,------------------- Game Over -------------------
